case_number,decision_number,decision_reference,decision_type_code,decision_type_label,decision_adoption_date,n_attachments
DMA.100047,{F604DC76-DD03-4853-8A76-21D42A7A6803},DMA.100047-DEC{F604DC76-DD03-4853-8A76-21D42A7A6803},DmaDecType004,Designation decision,2024-04-29,1
DMA.100004,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100004-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DmaDecType002,Designation decision,2023-09-05,1
DMA.100009,{564D5143-E863-4715-A8AE-D15EAA7B50B9},DMA.100009-DEC{564D5143-E863-4715-A8AE-D15EAA7B50B9},DmaDecType002,Designation decision,2023-09-05,1
DMA.100206,{1AEB95D8-84C2-4C38-89D2-B735E05ACA8B},DMA.100206-DEC{1AEB95D8-84C2-4C38-89D2-B735E05ACA8B},DmaDecType040,Decision to open proceedings based on Art.20 and Art.29,2024-06-24,1
DMA.100008,{564D5143-E863-4715-A8AE-D15EAA7B50B9},DMA.100008-DEC{564D5143-E863-4715-A8AE-D15EAA7B50B9},DmaDecType002,Designation decision,2023-09-05,1
DMA.100041,{A51330F2-53EE-4FD9-B0E5-4E1B4553960C},DMA.100041-DEC{A51330F2-53EE-4FD9-B0E5-4E1B4553960C},DmaDecType005,Decision accepting rebuttal,2024-10-16,1
DMA.100041,{FA19CA1B-3661-40F5-8151-16D4B2DCC1E7},DMA.100041-DEC{FA19CA1B-3661-40F5-8151-16D4B2DCC1E7},DmaDecType030,Decision to open a market investigation based on Art.3(8) and Art.17(1),2024-05-13,1
DMA.100042,{E35552D7-CA95-4AD2-A269-03AC1E84B650},DMA.100042-DEC{E35552D7-CA95-4AD2-A269-03AC1E84B650},DmaDecType005,Decision accepting rebuttal,2024-05-13,1
DMA.100040,{B83B1673-D18A-4D1C-B36A-765FFC8CEDF0},DMA.100040-DEC{B83B1673-D18A-4D1C-B36A-765FFC8CEDF0},DmaDecType003,Designation decision,2023-09-05,1
DMA.100045,{6E4C6443-2789-414C-A2BF-1BF882408787},DMA.100045-DEC{6E4C6443-2789-414C-A2BF-1BF882408787},DmaDecType005,Decision accepting rebuttal,2026-02-05,1
DMA.100002,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100002-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DmaDecType002,Designation decision,2023-09-05,1
DMA.100044,{37AF0374-5338-4BCA-A294-6C93D3B49A34},DMA.100044-DEC{37AF0374-5338-4BCA-A294-6C93D3B49A34},DmaDecType008,Review of designation decision based on Art.4,2025-04-23,1
DMA.100044,{F05A5D40-5E73-4ECB-9537-582A4E3F3251},DMA.100044-DEC{F05A5D40-5E73-4ECB-9537-582A4E3F3251},DmaDecType003,Designation decision,2023-09-05,1
DMA.100236,{45930059-FD0F-4689-B14C-A507B4B654A8},DMA.100236-DEC{45930059-FD0F-4689-B14C-A507B4B654A8},DmaDecType036,Decision to open a market investigation into new services and new practices based on Art.19,2025-11-18,1
DMA.100038,{1386C4A5-AB07-4CF0-9B4B-D8CBACB1AB1E},DMA.100038-DEC{1386C4A5-AB07-4CF0-9B4B-D8CBACB1AB1E},DmaDecType005,Decision accepting rebuttal,2023-09-05,1
DMA.100075,{BEAE72E0-77BF-460A-89C6-1F7E38072261},DMA.100075-DEC{BEAE72E0-77BF-460A-89C6-1F7E38072261},DmaDecType043,Non-compliance decision based on Art.29,2026-07-23,0
DMA.100075,{E9521267-2288-4A53-9F73-2BF23BC5C7DD},DMA.100075-DEC{E9521267-2288-4A53-9F73-2BF23BC5C7DD},DmaDecType040,Decision to open proceedings based on Art.20 and Art.29,2024-03-25,1
DMA.100193,{649445A8-318F-4236-8AFF-A98A68ABB900},DMA.100193-DEC{649445A8-318F-4236-8AFF-A98A68ABB900},DmaDecType043,Non-compliance decision based on Art.29,2026-07-23,0
DMA.100193,{8973FEAF-0FA4-446E-9808-7C4DA6C897A5},DMA.100193-DEC{8973FEAF-0FA4-446E-9808-7C4DA6C897A5},DmaDecType040,Decision to open proceedings based on Art.20 and Art.29,2024-03-25,1
DMA.100232,{8242FE1D-A499-4E12-B388-1CC76132BCAF},DMA.100232-DEC{8242FE1D-A499-4E12-B388-1CC76132BCAF},DmaDecType005,Decision accepting rebuttal,2024-05-13,1
DMA.100034,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},DMA.100034-DEC{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},DmaDecType005,Decision accepting rebuttal,2024-02-12,1
DMA.100034,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},DMA.100034-DEC{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},DmaDecType031,Decision to open a market investigation based on Art.3(5) and Art.17(3),2023-09-05,1
DMA.100035,{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9},DMA.100035-DEC{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9},DmaDecType002,Designation decision,2023-09-05,1
