case_number,decision_number,reference,publicationDate,webDescription
DMA.100016,{F47F44E8-586E-4C34-914C-E99AB8CF8335},IP_23_4328,NA,NA
DMA.100017,{76AD7838-D3B7-4FC6-9486-428D0C3DC16A},IP_23_4328,,NA
DMA.100014,{689FD300-B727-4545-8AA9-80A6C3426CFB},MEX_26_311,2026-02-05,
DMA.100015,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},MEX_24_785,,NA
DMA.100015,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},IP_23_4328,NA,NA
DMA.100018,{F47F44E8-586E-4C34-914C-E99AB8CF8335},IP_23_4328,NA,NA
DMA.100019,{B14456B8-5889-4F3C-9554-E975385C8DE6},IP_24_2561,2024-05-13,NA
DMA.100013,{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},IP_23_4328,,NA
DMA.100010,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},IP_23_4328,,NA
DMA.100055,{4B1EF27F-06A5-4211-B33A-B7C1C77F5011},IP_25_1085,2025-04-23,
DMA.100055,{BFC1CDC6-B118-45A7-B3D6-5A4718E700D6},IP_24_1689,,NA
DMA.100011,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},IP_23_4328,,NA
DMA.100209,{38F71209-CDB2-4562-AF09-525D9C99F38F},IP_26_202,2026-01-27,
DMA.100209,{DC0531D8-AE73-48AC-94FF-4559C8149578},IP_26_1634,2026-07-16,
DMA.100209,{F5FDC925-CA74-4003-903E-64D25D2B0886},IP_26_825,2026-04-16,
